DonationID,DonorID,Type,Subtype,Size,Condition_Donor,Condition_System,Season,Quantity,Location_City,Latitude,Longitude,Timestamp_Submitted,Timestamp_PickedUp,Timestamp_Delivered,Matched_NGO_ID,AdminDecision,Proof_Type,Proof_Evidence,IsFraud
DON000001,D01448,Men's Wear,Shirts,L,Used,Used,Monsoon,10,Delhi,28.725642,77.091409,2024-07-25 10:54:38,2024-07-29 10:54:38,2024-07-31 10:54:38,NGO0379,Approved,Receipt,Yes,False
DON000002,D01331,Accessories,Belts,XXL,Gently Worn,Gently Worn,Monsoon,41,Mumbai,19.068199,72.896955,2024-08-03 17:21:10,2024-08-11 17:21:10,2024-08-12 17:21:10,NGO0236,Approved,Receipt,Yes,False
DON000003,D01683,Footwear,Shoes,XXL,Used,Used,Summer,7,Mumbai,19.070138,72.927501,2024-02-12 03:38:38,2024-02-22 03:38:38,2024-02-27 03:38:38,NGO0051,Approved,Receipt,Yes,False
DON000004,D02029,Women's Wear,Salwar Kameez,M,Gently Worn,Gently Worn,Summer,3,Mumbai,19.10315,72.835477,2024-02-23 16:12:45,2024-02-29 16:12:45,2024-03-03 16:12:45,NGO0066,Approved,Receipt,Yes,False
DON000005,D01320,Kids Wear,School Uniforms,L,Used,Used,Summer,4,Bengaluru,12.957494,77.573942,2024-04-08 20:45:46,2024-04-10 20:45:46,2024-04-12 20:45:46,NGO0088,Approved,None,No,False
DON000006,D00226,Winter Wear,Sweaters,S,Gently Worn,Gently Worn,Summer,10,Kolkata,22.595994,88.340522,2024-03-12 07:12:13,2024-03-22 07:12:13,2024-03-26 07:12:13,NGO0287,Approved,None,No,False
DON000007,D01599,Men's Wear,Sweaters,XXL,Gently Worn,Gently Worn,Monsoon,32,Bengaluru,12.960681,77.572453,2024-06-07 09:45:16,2024-06-11 09:45:16,2024-06-12 09:45:16,NGO0233,Approved,Receipt,Yes,False
DON000008,D00448,Men's Wear,Sweaters,S,Used,Used,Monsoon,8,Surat,21.204843,72.844609,2024-09-23 01:49:01,2024-09-29 01:49:01,2024-10-03 01:49:01,NGO0368,Approved,None,No,False
DON000009,D01656,Winter Wear,Mufflers,L,Used,Used,Summer,9,Mumbai,19.080223,72.872837,2023-04-27 14:25:28,2023-05-05 14:25:28,2023-05-06 14:25:28,NGO0274,Approved,None,No,False
DON000010,D02008,Kids Wear,School Uniforms,XXL,Used,Used,Winter,3,Chennai,13.120927,80.229413,2024-11-10 02:26:40,2024-11-17 02:26:40,2024-11-20 02:26:40,NGO0190,Approved,Receipt,Yes,False
