_id,name,city,state,latitude,longitude,trust_score,impact_score,focus_areas,accepted_clothing_types,Capacity_per_week,Acceptance_Rate,Urgent_Need,Contact
NGO0001,NGO Elderly 1,Kolkata,West Bengal,22.555932,88.353248,75,82,Elderly Care,formal;shoes;accessories;children,320,0.85,False,ngo1@example.org
NGO0002,NGO Homeless 2,Mumbai,Maharashtra,19.084235,72.8905,75,68,Homeless Shelter,outerwear;accessories;casual;children,51,0.79,False,ngo2@example.org
NGO0003,NGO Women 3,Surat,Maharashtra,21.128088,72.838466,75,92,Women Empowerment,children;shoes;casual;formal;accessories,85,0.69,False,ngo3@example.org
NGO0004,NGO Homeless 4,Pune,Maharashtra,18.489315,73.876276,75,69,Homeless Shelter,shoes;casual;children;formal,248,0.68,True,ngo4@example.org
NGO0005,NGO Women 5,Delhi,Delhi,28.708304,77.089599,75,88,Women Empowerment,shoes;formal;accessories;casual,201,0.91,False,ngo5@example.org
NGO0006,NGO Women 6,Kolkata,West Bengal,22.538357,88.380975,75,78,Women Empowerment,shoes;casual;accessories;children;formal,67,0.9,False,ngo6@example.org
NGO0007,NGO Women 7,Delhi,Delhi,28.683376,77.079012,75,83,Women Empowerment,casual;shoes;outerwear;formal,385,0.64,False,ngo7@example.org
NGO0008,NGO Disaster 8,Delhi,Delhi,28.699176,77.110445,75,67,Disaster Relief,casual;shoes;children;accessories;formal,429,0.84,False,ngo8@example.org
NGO0009,NGO Disaster 9,Chennai,Tamil Nadu,13.086727,80.223502,75,92,Disaster Relief,children;casual;shoes,455,0.92,False,ngo9@example.org
NGO0010,NGO Elderly 10,Hyderabad,Telangana,17.424719,78.493608,75,91,Elderly Care,casual;accessories;formal;outerwear;children,245,0.86,True,ngo10@example.org
NGO0011,NGO Rural 11,Mumbai,Maharashtra,19.106472,72.836667,75,94,Rural Development,outerwear;casual;formal,299,0.75,False,ngo11@example.org
NGO0012,NGO Elderly 12,Mumbai,Maharashtra,19.05235,72.927055,75,89,Elderly Care,shoes;formal;accessories;children,156,0.89,True,ngo12@example.org
NGO0013,NGO Elderly 13,Mumbai,Maharashtra,19.079656,72.906838,75,91,Elderly Care,children;shoes;outerwear;casual;formal,74,0.66,False,ngo13@example.org
NGO0014,NGO Elderly 14,Bengaluru,Karnataka,12.955434,77.589446,75,67,Elderly Care,accessories;formal;shoes;casual;outerwear,423,0.91,False,ngo14@example.org
NGO0015,NGO Disaster 15,Mumbai,Maharashtra,19.039348,72.927102,75,62,Disaster Relief,formal;shoes;outerwear;accessories;children,456,0.68,False,ngo15@example.org
NGO0016,NGO Children 16,Mumbai,Maharashtra,19.059019,72.885062,75,63,Children Education,outerwear;shoes;formal;casual,160,0.67,True,ngo16@example.org
NGO0017,NGO Homeless 17,Delhi,Delhi,28.676046,77.077864,75,69,Homeless Shelter,children;outerwear;accessories;shoes;casual,275,0.62,True,ngo17@example.org
NGO0018,NGO Children 18,Hyderabad,Telangana,17.377778,78.482329,75,93,Children Education,accessories;shoes;outerwear;children;formal,274,0.9,False,ngo18@example.org
NGO0019,NGO Elderly 19,Chennai,Tamil Nadu,13.093667,80.255437,75,89,Elderly Care,shoes;children;formal;outerwear,177,0.91,True,ngo19@example.org
NGO0020,NGO Children 20,Mumbai,Maharashtra,19.090175,72.848761,75,82,Children Education,shoes;formal;outerwear;casual,138,0.92,False,ngo20@example.org
NGO0021,NGO Elderly 21,Kolkata,West Bengal,22.539663,88.316804,75,86,Elderly Care,formal;outerwear;accessories;casual,416,0.92,False,ngo21@example.org
NGO0022,NGO Disaster 22,Mumbai,Maharashtra,19.080018,72.873545,75,68,Disaster Relief,children;casual;shoes,464,0.86,True,ngo22@example.org
NGO0023,NGO Rural 23,Mumbai,Maharashtra,19.09777,72.923461,75,69,Rural Development,casual;children;formal;shoes,458,0.65,True,ngo23@example.org
NGO0024,NGO Rural 24,Ahmedabad,Gujarat,22.978349,72.602832,75,92,Rural Development,casual;formal;accessories;outerwear,261,0.92,False,ngo24@example.org
NGO0025,NGO Children 25,Hyderabad,Telangana,17.389646,78.509665,75,63,Children Education,casual;accessories;children;shoes,475,0.92,False,ngo25@example.org
NGO0026,NGO Disaster 26,Delhi,Delhi,28.680145,77.063087,75,76,Disaster Relief,casual;shoes;children;formal,491,0.66,False,ngo26@example.org
NGO0027,NGO Disaster 27,Mumbai,Maharashtra,19.061976,72.881862,75,94,Disaster Relief,children;casual;shoes,496,0.92,False,ngo27@example.org
NGO0028,NGO Disaster 28,Chennai,Tamil Nadu,13.079616,80.235534,75,78,Disaster Relief,casual;children;formal,496,0.93,False,ngo28@example.org
NGO0029,NGO Disaster 29,Mumbai,Maharashtra,19.08588,72.907966,75,84,Disaster Relief,casual;accessories;formal;shoes;outerwear,450,0.84,False,ngo29@example.org
NGO0030,NGO Disaster 30,Delhi,Delhi,28.707478,77.123761,75,76,Disaster Relief,formal;shoes;children,421,0.86,False,ngo30@example.org
NGO0031,NGO Children 31,Bengaluru,Karnataka,12.98432,77.589737,75,83,Children Education,formal;shoes;children,456,0.67,False,ngo31@example.org
NGO0032,NGO Homeless 32,Mumbai,Maharashtra,19.123933,72.839623,75,90,Homeless Shelter,formal;shoes;accessories;children;outerwear,312,0.61,False,ngo32@example.org
NGO0033,NGO Rural 33,Surat,Maharashtra,21.17548,72.861834,75,93,Rural Development,outerwear;children;shoes,364,0.62,True,ngo33@example.org
NGO0034,NGO Elderly 34,Bengaluru,Karnataka,12.926548,77.627038,75,66,Elderly Care,shoes;children;accessories,405,0.61,False,ngo34@example.org
NGO0035,NGO Disaster 35,Pune,Maharashtra,18.505652,73.865476,75,60,Disaster Relief,outerwear;shoes;accessories;children,366,0.69,False,ngo35@example.org
NGO0036,NGO Children 36,Mumbai,Maharashtra,19.057834,72.916275,75,76,Children Education,casual;formal;shoes,302,0.64,False,ngo36@example.org
NGO0037,NGO Elderly 37,Mumbai,Maharashtra,19.075223,72.866481,75,83,Elderly Care,accessories;formal;children,177,0.68,False,ngo37@example.org
NGO0038,NGO Women 38,Mumbai,Maharashtra,19.028146,72.913416,75,62,Women Empowerment,shoes;children;casual,123,0.64,False,ngo38@example.org
NGO0039,NGO Disaster 39,Delhi,Delhi,28.68615,77.133591,75,74,Disaster Relief,accessories;outerwear;children;formal;shoes,500,0.83,False,ngo39@example.org
NGO0040,NGO Disaster 40,Ahmedabad,Gujarat,23.046504,72.521551,75,60,Disaster Relief,casual;accessories;outerwear;children,468,0.67,False,ngo40@example.org
NGO0041,NGO Children 41,Delhi,Delhi,28.698382,77.142984,75,87,Children Education,accessories;formal;outerwear;shoes,206,0.78,False,ngo41@example.org
NGO0042,NGO Elderly 42,Bengaluru,Karnataka,12.979611,77.577659,75,73,Elderly Care,accessories;formal;shoes;outerwear,287,0.61,False,ngo42@example.org
NGO0043,NGO Disaster 43,Mumbai,Maharashtra,19.063419,72.896012,75,62,Disaster Relief,formal;shoes;casual;outerwear,400,0.72,False,ngo43@example.org
NGO0044,NGO Disaster 44,Mumbai,Maharashtra,19.094187,72.877384,75,86,Disaster Relief,casual;children;formal,409,0.92,False,ngo44@example.org
