donation_id,donor_id,category,condition,quantity,city,state,country,matched_ngo,created_at,status
don_1,donor_39,children,fair,9,Chennai,Tamil Nadu,India,,2025-07-16T17:42:00.032955,pending
don_2,donor_44,formal,excellent,1,Mumbai,Maharashtra,India,,2025-02-07T17:42:00.032955,approved
don_3,donor_16,outerwear,excellent,34,Chennai,Tamil Nadu,India,,2025-10-18T17:42:00.032955,pending
don_4,donor_7,children,poor,9,Mumbai,Maharashtra,India,,2025-06-07T17:42:00.032955,pending
don_5,donor_7,winter wear,excellent,10,Delhi,Delhi,India,,2025-07-29T17:42:00.032955,pending
don_6,donor_39,children,good,12,Delhi,Delhi,India,ngo_35,2025-05-22T17:42:00.032955,completed
don_7,donor_19,seasonal,poor,41,Mumbai,Maharashtra,India,,2025-05-15T17:42:00.032955,pending
don_8,donor_16,traditional,excellent,13,Mumbai,Maharashtra,India,ngo_41,2024-12-28T17:42:00.032955,completed
don_9,donor_46,casual,fair,17,Chennai,Tamil Nadu,India,ngo_29,2025-10-27T17:42:00.032955,completed
don_10,donor_45,traditional,fair,31,Chennai,Tamil Nadu,India,ngo_67,2025-04-02T17:42:00.032955,completed
don_11,donor_13,seasonal,excellent,35,Kolkata,West Bengal,India,,2025-07-28T17:42:00.032955,pending
don_12,donor_50,traditional,poor,12,Mumbai,Maharashtra,India,ngo_6,2025-03-06T17:42:00.032955,completed
don_13,donor_13,seasonal,good,16,Kolkata,West Bengal,India,,2025-06-04T17:42:00.032955,approved
don_14,donor_42,accessories,excellent,1,Delhi,Delhi,India,,2025-02-23T17:42:00.032955,pending
don_15,donor_14,formal,poor,45,Mumbai,Maharashtra,India,ngo_29,2025-03-21T17:42:00.032955,completed
don_16,donor_42,accessories,fair,12,Delhi,Delhi,India,ngo_12,2025-05-16T17:42:00.032955,completed
don_17,donor_32,activewear,fair,23,Mumbai,Maharashtra,India,ngo_22,2025-06-01T17:42:00.032955,completed
don_18,donor_44,accessories,fair,20,Chennai,Tamil Nadu,India,,2025-09-27T17:42:00.032955,pending
don_19,donor_19,winter wear,poor,7,Mumbai,Maharashtra,India,,2025-08-13T17:42:00.032955,pending
don_20,donor_33,activewear,good,13,Delhi,Delhi,India,ngo_42,2025-08-03T17:42:00.032955,completed
don_21,donor_2,traditional,excellent,1,Chennai,Tamil Nadu,India,ngo_94,2025-05-20T17:42:00.032955,completed
don_22,donor_11,formal,excellent,31,Delhi,Delhi,India,,2025-04-15T17:42:00.032955,approved
don_23,donor_16,outerwear,good,43,Mumbai,Maharashtra,India,,2025-07-01T17:42:00.032955,pending
don_24,donor_50,shoes,excellent,21,Mumbai,Maharashtra,India,ngo_88,2025-10-09T17:42:00.032955,completed
don_25,donor_34,children,excellent,7,Delhi,Delhi,India,,2025-09-03T17:42:00.032955,pending
don_26,donor_41,casual,excellent,27,Bengaluru,Karnataka,India,,2025-05-03T17:42:00.032955,approved
don_27,donor_9,traditional,fair,14,Mumbai,Maharashtra,India,ngo_28,2025-10-01T17:42:00.032955,completed
don_28,donor_50,shoes,poor,40,Mumbai,Maharashtra,India,ngo_0,2025-02-17T17:42:00.032955,completed
don_29,donor_15,formal,excellent,25,Bengaluru,Karnataka,India,ngo_22,2025-06-14T17:42:00.032955,completed
don_30,donor_2,traditional,good,10,Delhi,Delhi,India,,2025-04-09T17:42:00.032955,pending
